Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
267,0,6,7,0,3,3,1,165.175,21,0,1,111.675,76.875,50,18.5,7,100,2
268,0,4,1,0,7,7,1,60.25,32,0,1,13.25,8.4,33,29,7,70,1
269,0,6,7,5,6,6,2,215.9598,64,1187017,3,80.9598,67.4,114,47.5,7,200,3
270,0,3,4,0,3,3,0,98.725,9,0,0,30.725,12.125,68,0,6,0,0
271,0,0,0,7,0,1,0,28.8859,0,1946666,0,10.3859,0,0,0,3,0,3
272,0,4,0,0,6,6,1,22.8,4,0,1,10.3,10.1,0,27.5,2,30,1
273,0,7,7,3,0,0,0,0,57,121,0,0,0,0,0,7,0,0
274,0,6,0,4,7,7,1,89.055,49,65,1,48.975,25.325,24,31.08,7,45,1
275,0,6,5,7,1,2,1,189.9314,20,974679,0,15.0314,11.14,174.9,0,7,200,0
276,0,4,7,7,3,3,2,107.0883,7,547992,1,35.5883,30.875,68,37,5,160,4
277,0,2,2,7,0,0,1,32.075,7,4001251,0,32.075,18.875,0,18.5,7,80,2
278,0,4,0,7,0,3,2,334.0726,9,8290100,0,14.0626,0,320.01,0,3,400,0
279,0,7,3,7,2,0,0,86.1,168,1651336,0,86.1,21,0,0,7,0,0
280,0,7,0,5,0,1,1,108,44,95890,0,13,13,95,0,6,100,0
281,0,7,0,6,7,7,3,182.4764,44,2593913,3,37.4764,24.7,139.5,50.5,7,180,4
282,0,4,2,1,2,0,0,0.2,19,113703,0,0.2,0,0,0,0,0,0
283,0,7,7,7,7,7,2,344.31,46,3066911,2,146.31,107.25,180.5,29,7,200,1
284,0,7,4,0,1,3,1,117.9,20,0,2,15.9,15.7,95,18.5,7,100,3
285,0,4,0,7,2,4,2,68.4036,4,2643759,2,33.4036,9.3,28,37,7,60,4
286,0,5,0,4,7,7,3,226.3867,58,850319,2,35.3867,11.65,173.5,47.5,4,250,3
287,0,7,0,7,2,2,2,211.875,43,890554,0,93.375,26.375,100,0,6,200,2
288,0,7,6,4,0,0,0,0,36,27208,0,0,0,0,0,7,0,3
289,0,6,7,7,5,5,2,203.57,12,3535938,2,41.95,30.1,150.12,41.5,7,200,4
290,0,7,6,0,5,5,2,183.84,181,0,0,176.34,176.34,0,7.5,7,200,0
291,0,0,0,7,0,1,1,85.5,0,5390090,1,0,0,12,0,0,70,3
293,0,7,1,7,1,5,2,151.76,42,5013681,1,5.26,0,143,0,5,130,0
294,0,6,7,1,2,3,1,104.175,39,114,1,42.675,42.075,58,18.5,7,100,3
295,0,3,0,7,0,0,0,6.975,3,1399274,0,6.975,6.975,0,0,7,0,3
296,0,3,0,7,7,7,1,107.325,5,1457095,2,14.825,13.825,75,29,5,100,1
297,0,3,1,7,4,4,1,129.5838,13,1371072,1,3.5638,0,119.52,21.5,6,130,1
298,0,7,3,7,3,2,1,171.275,107,121709,0,63.275,25.375,108,0,7,200,0
299,0,2,3,7,7,7,1,137.755,2,735403,0,12.975,0,114.28,10.5,6,120,0
301,0,7,0,0,4,2,2,96.67,102,0,0,21.55,19.95,75.12,0,7,130,0
302,0,0,0,7,2,1,0,48.5098,0,541344,1,29.0098,0,16,0,0,0,3
303,0,7,2,0,5,0,0,0,95,0,0,0,0,0,0,7,0,0
304,0,6,6,1,7,7,1,75.295,35,775069,0,29.675,26.875,35.12,29,7,100,1
305,0,0,5,7,1,2,1,143.9,0,4025139,0,2.4,0,140,1.5,5,145,0
306,0,0,0,0,1,1,0,5.97,0,0,0,0,0,0,5.97,0,0,0
307,0,7,3,7,4,4,3,183.2051,69,1206495,2,59.7051,34.25,13,41.5,7,199,4
308,0,7,4,7,7,7,2,138.225,93,0,1,29.225,16.025,95,47.5,7,200,3
309,0,7,0,4,1,0,0,0,80,63239,0,0,0,0,0,7,0,0
310,0,2,4,0,4,4,1,35.855,3,0,1,11.775,11.375,11,28.08,7,45,1
311,0,6,0,7,7,7,2,99.0151,56,110812,2,45.5151,36.7,36,47.5,6,90,3
314,0,7,0,7,7,7,2,144.4401,21,2254967,2,89.9401,75.225,37,47.5,7,150,2
315,0,6,5,2,0,0,0,0,68,8832,0,0,0,0,0,7,0,3
316,0,0,0,7,0,1,1,140,0,3576449,0,0,0,0,0,7,140,1
317,0,7,7,0,7,7,2,188.905,109,0,3,73.425,59.625,90,51.98,7,200,3
318,0,4,5,7,1,3,1,161.5,36,2130254,0,67.5,54,94,0,5,100,0
319,0,3,0,2,6,6,1,41.4913,5,74669,1,28.9913,17.425,0,27.5,7,30,1
320,0,3,0,7,6,5,2,199.125,15,1105395,2,12.125,8.475,174,43,7,200,4
321,0,5,1,7,2,2,1,167.35,66,3448784,1,3.85,2.65,160,18.5,6,181,1
322,0,6,0,7,0,1,1,160,12,2994075,0,0,0,160,0,3,160,0
323,0,4,6,7,3,4,3,248.625,23,2782002,3,33.175,27.075,94,67.45,7,249,5
324,0,6,0,2,0,1,1,124,18,1225,0,29,29,95,0,5,100,0
325,0,3,2,7,2,1,1,36.95,6,2864027,0,24.95,20.55,12,0,1,100,0
326,0,7,0,6,6,0,0,55.2,194,298325,0,55.2,50.4,0,0,7,0,3
327,0,7,0,2,1,1,2,244.575,33,212,2,167.575,158.125,70,37,7,90,4
328,0,5,1,5,0,0,0,0,21,112342,0,0,0,0,0,5,0,0
329,0,0,0,7,3,4,1,100,0,980948,0,25,0,75,0,2,100,0
330,0,5,4,0,2,1,0,0.52,112,0,0,0.4,0,0.12,0,7,0,3
331,0,7,5,7,0,7,2,160,28,5227482,0,0,0,160,0,6,170,0
332,0,7,3,2,0,0,0,0,40,250363,0,0,0,0,0,5,0,3
334,0,6,2,0,7,7,3,100.48,25,0,0,38.4,27,48,14.08,7,120,0
335,0,1,0,7,7,7,1,223.575,3,5768627,0,73.075,0.375,140,10.5,2,200,0
336,0,5,0,0,5,0,1,121.325,33,0,0,121.325,118.525,0,0,5,100,0
337,0,3,0,7,0,2,2,220,10,4574357,0,0,0,220,0,3,220,0
339,0,4,0,1,3,3,1,48.875,15,0,1,34.875,34.875,6,23,7,50,2
340,0,7,0,6,7,7,5,451.4274,218,2283738,4,216.9274,185.65,111,84.5,7,449,5
342,0,3,0,0,6,6,1,69.105,9,0,0,12.525,3.525,44,31.08,2,100,1
343,0,0,0,5,1,1,1,132.0402,0,819890,0,57.0402,0,75,18.5,0,150,1
344,0,7,7,0,1,7,1,115.745,37,0,2,17.625,15.425,91.12,18.5,6,100,1
345,0,7,0,4,6,6,3,122.0246,27,73878,3,87.5246,71.775,15,64.5,7,110,4
347,0,5,1,7,2,1,0,184.875,15,2088944,0,59.875,55.975,125,0,6,0,0
348,0,7,2,5,5,3,1,122.64,54,2169251,1,6.14,0,110,3,7,100,2
349,0,7,7,0,3,6,0,55,116,0,0,5,0,50,0,7,0,0
350,0,7,0,2,7,7,2,139.6619,86,18045,2,54.1619,33.75,68,47.5,7,110,2
351,0,7,0,2,0,1,1,350,59,121596,0,0,0,0,0,6,350,0
352,0,2,0,0,3,3,1,49.78,8,0,1,9.8,9.8,26,28.98,1,50,2
